ID,Attribute,Artist,Album Name,Price,Spec,Goodness,Condition,Category,Year
00050046,Vinyl,TONY CROMBIE,"Swing Low, Swing Easy",$7,RPS 39004,Very Good Plus (VG+),Sleeve Condition,Very Good Plus (VG+),1962
R00126324,Vinyl,TSCHAIKOWSKY,Berliner Philharmoniker   Herbert Von Karajan - Symphonie Nr. 5,$6.5,2530 699,Near Mint (NM or M-),Sleeve Condition,Near Mint (NM or M-),1976
R00126250,Vinyl,VALERIE CARTER,Wild Child,$6.5,PC 35084,Very Good Plus (VG+),Sleeve Condition,Very Good Plus (VG+),1978
R00123021,Vinyl,VARIOUS,The Jazz Story Volume 2 (Rare Records Of The Men And The Music,$12,W2138,Very Good Plus (VG+),Sleeve Condition,Very Good (VG),1964
R00123240,Vinyl,VARIOUS,Golden Goodies - Vol. 8,$2, R-25214 ,Near Mint (NM or M-),Sleeve Condition,Very Good Plus (VG+),1963
R00126259,Vinyl,VARIOUS,Playboy Street Rock,$7.00,NFLP-2001X,Very Good Plus (VG+),Sleeve Condition,1981
00118009,Vinyl,VERA LYNN,As Time Goes By,$7,SE 3889,Near Mint (NM or M-),Sleeve Condition,Very Good Plus (VG+),1961
R00122858,Vinyl,VERDI,La Traviata,$9,LSC-2561,Very Good (VG),Sleeve Condition,Very Good Plus (VG+),1961
00026120,Vinyl,WOODY WOODBURY,Laughing Room,$10,M.W. 2,Very Good Plus (VG+),Sleeve Condition,Very Good Plus (VG+),1960
REMOVED
R00126133,Vinyl,Sleeve Condition
R00126136,Vinyl,Sleeve Condition
R00126153,Vinyl,Sleeve Condition
R00126237,Vinyl,GIG 222-127,Good Plus (G+),Sleeve Condition,1985
00120929,Vinyl,AL JOLSON,The World's Greatest Entertainer,$6,DL 9074,Good Plus (G+),Sleeve Condition,Good (G),1959
00120933,Vinyl,BARBRA STREISAND,The Third Album,$6,KCS 8954,Very Good Plus (VG+),Sleeve Condition,Good Plus (G+),1964
00120934,Vinyl,BARBRA STREISAND,The Barbra Streisand Album,$6,CS 8807,Near Mint (NM or M-),Sleeve Condition,Good Plus (G+),1963
